data,historico,valor,categoria,conta,entrada,saida
2026-05-19,Pagamento de Boleto JOMARCA INDL DE PARAFUSOS LTDA,-2684.79,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,2684.79
2026-05-20,Pix - Recebido RONALDO MEL,10787.31,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,10787.31,0.0
2026-05-20,Pix - Enviado RECEITA FEDERAL,-7976.25,Pagamento DARF (INSS/IRRF),2.1.4.01 Obrigações Fiscais Federais,0.0,7976.25
2026-05-20,Pix - Enviado CEF MATRIZ,-1400.55,Pagamento FGTS,2.1.4.02 FGTS a Recolher,0.0,1400.55
2026-05-20,Pagamento de Boleto AFO MOVEIS E ARTEFATOS LTDA,-1498.33,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,1498.33
2026-05-20,Pix - Enviado Madepinus,-18530.2,Transferência entre contas próprias,1.1.1.09 Transferências Internas,0.0,18530.2
2026-05-21,Pix - Recebido FALCAO & FR,11031.95,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,11031.95,0.0
2026-05-21,Pix - Recebido FALCAO E FR,8145.86,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,8145.86,0.0
2026-05-21,Pix - Recebido RONALDO MEL,40842.07,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,40842.07,0.0
2026-05-21,Pix - Recebido RONALDO MEL,22978.81,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,22978.81,0.0
2026-05-21,Impostos GOV PI ARREC ICMS OUTROS,-16433.59,Pagamento ICMS (DAR/antecipação),4.1.1.02 ICMS a Recolher,0.0,16433.59
2026-05-21,Impostos GOV PI ARREC ICMS OUTROS,-22978.81,Pagamento ICMS (DAR/antecipação),4.1.1.02 ICMS a Recolher,0.0,22978.81
2026-05-21,Impostos GOV PI ARREC ICMS OUTROS,-22978.81,Pagamento ICMS (DAR/antecipação),4.1.1.02 ICMS a Recolher,0.0,22978.81
2026-05-21,Impostos GOV PI ARREC ICMS OUTROS,-20042.77,Pagamento ICMS (DAR/antecipação),4.1.1.02 ICMS a Recolher,0.0,20042.77
2026-05-21,Impostos GOV PI ARREC ICMS OUTROS,-26983.19,Pagamento ICMS (DAR/antecipação),4.1.1.02 ICMS a Recolher,0.0,26983.19
2026-05-22,Pix - Recebido RONALDO MEL,57359.18,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,57359.18,0.0
2026-05-22,Pagamento de Boleto ROMETAL COMP P MOVEIS LTDA,-1757.0,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,1757.0
2026-05-22,Pagamento de Boleto HD FERRAGENS PARA MOVEIS LTDA,-971.13,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,971.13
2026-05-22,Pagamento de Boleto STAM METALURGICA LTDA.,-994.61,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,994.61
2026-05-22,Pix - Enviado AGUAS DE TERESINA SANEAME,-92.92,Despesa consumo (água),4.1.3.01 Despesas Consumo/Aluguel,0.0,92.92
2026-05-22,Pagamento de Boleto ALLIANZ SEGUROS S A,-188.33,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,188.33
2026-05-27,Pix - Recebido FALCAO FR,13353.5,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,13353.5,0.0
2026-05-27,Pagamento de Boleto PLACAS DO BRASIL S A,-32389.73,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,32389.73
2026-05-27,Pagamento de Boleto PLACAS DO BRASIL S A,-1138.96,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,1138.96
2026-05-27,Pagamento de Boleto EQUATORIAL PIAUI DISTRIBUIDORA,-2450.84,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,2450.84
2026-05-27,Pagamento de Boleto HD FERRAGENS PARA MOVEIS LTDA,-4274.82,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,4274.82
2026-05-28,Pix - Recebido FALCAO & FR,5420.73,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,5420.73,0.0
2026-05-29,Pix - Recebido FALCAO FR,4822.58,Transferência entre contas próprias/sócio,1.1.1.09 Transferências Internas,4822.58,0.0
2026-05-29,Pix - Recebido AMBIENTARE,26.0,Recebimento cliente diverso,1.1.2.01 Clientes,26.0,0.0
2026-05-29,Pagamento de Boleto PLACAS DO BRASIL S A,-16007.3,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,16007.3
2026-05-29,Pagamento de Boleto ALELO S.A.,-3486.0,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,3486.0
2026-05-29,Pagamento de Boleto LOTUS COMERCIAL DE FERRAGENS E,-580.04,Pagamento a fornecedor (boleto),2.1.1.01 Fornecedores Nacionais,0.0,580.04
